,Customer,Gender,Income,Location Code,Marital Status
0,BU79786,F,56274,Suburban,Married
2,AI49188,F,48767,Suburban,Married
4,HB64268,M,43836,Rural,Single
5,OC83172,F,62902,Rural,Married
6,XZ87318,F,55350,Suburban,Married
8,DY87989,M,14072,Suburban,Divorced
9,BQ94931,F,28812,Urban,Married
12,DP39365,M,77026,Urban,Married
13,SJ95423,M,99845,Suburban,Married
14,IL66569,M,83689,Urban,Single
15,BW63560,F,24599,Rural,Married
16,FV94802,M,25049,Suburban,Married
17,OE15005,M,28855,Suburban,Married
18,WC83389,M,51148,Urban,Married
19,FL50705,F,66140,Suburban,Married
20,ZK25313,M,57749,Suburban,Single
21,SV62436,F,13789,Suburban,Divorced
22,YH23384,M,14072,Suburban,Divorced
24,HM55802,F,17870,Suburban,Married
25,FS42516,M,97541,Suburban,Married
27,HO30839,F,10511,Urban,Married
28,GE62437,F,86584,Suburban,Single
29,EJ77678,F,75690,Suburban,Married
30,SV85652,M,23158,Suburban,Married
31,UL64533,M,65999,Urban,Married
33,AO98601,M,54500,Suburban,Married
34,SK67821,F,37260,Rural,Married
35,YV55495,F,68987,Urban,Married
36,KY38074,M,42305,Suburban,Married
37,DM79012,F,65706,Suburban,Married
39,WC35801,M,53243,Rural,Divorced
41,MB98372,F,50071,Rural,Single
42,IL19217,F,60021,Suburban,Married
43,SR38658,M,43244,Suburban,Married
44,DH41343,M,92834,Suburban,Married
45,HG65722,F,10105,Rural,Married
47,XM45289,F,23218,Suburban,Single
50,WE95729,M,24804,Suburban,Married
51,PY51963,F,33190,Suburban,Divorced
52,RB69909,F,36014,Rural,Married
53,XR95069,M,29834,Suburban,Single
54,FR46645,M,16701,Suburban,Married
55,SY17488,F,46623,Suburban,Divorced
56,AP67935,M,64749,Urban,Married
58,ML29312,F,16969,Suburban,Divorced
59,UB61619,F,11621,Suburban,Divorced
60,CD86811,M,17622,Suburban,Divorced
61,RU83859,F,11489,Suburban,Married
63,NN71951,F,66525,Rural,Married
65,SM52139,M,33663,Suburban,Married
66,FL82372,F,22547,Suburban,Divorced
67,DP45816,F,61486,Urban,Married
69,RZ33670,F,29879,Suburban,Married
70,PY70169,M,93011,Rural,Divorced
71,MO91628,M,65186,Rural,Married
72,HW87852,M,26840,Suburban,Married
74,BN87372,M,75644,Suburban,Divorced
75,YX23800,M,38984,Suburban,Married
76,DZ87709,F,71811,Rural,Single
77,XW13033,M,20961,Suburban,Married
78,LN31673,M,38923,Rural,Married
79,OM82309,M,61321,Rural,Single
81,VH85817,M,51066,Suburban,Single
82,DT85712,M,34378,Suburban,Married
83,YJ88573,M,43072,Suburban,Married
84,SQ19467,F,25222,Suburban,Single
85,HF88410,M,36765,Suburban,Married
86,ET79815,M,23091,Suburban,Married
87,QC35222,F,48269,Urban,Married
88,CJ15590,F,32720,Suburban,Divorced
89,OI48267,M,20396,Suburban,Married
90,JY67916,M,21513,Suburban,Married
91,OE75231,F,72540,Suburban,Married
92,CZ33664,F,80744,Rural,Married
93,WK30175,M,52822,Suburban,Married
95,TV87155,F,69738,Suburban,Married
96,KH48895,F,17780,Rural,Married
97,NZ30757,M,18107,Suburban,Married
98,RI22468,F,57740,Urban,Married
99,FZ30935,M,32627,Suburban,Married
102,XK64261,M,65795,Rural,Single
103,EV68375,M,60475,Suburban,Married
105,TO96662,F,41837,Rural,Married
106,MR52087,F,32303,Rural,Married
108,EP80820,F,40531,Rural,Married
109,GU99037,M,79898,Urban,Married
110,WI57118,M,56398,Suburban,Married
111,YQ74870,M,35257,Suburban,Divorced
112,MQ14219,M,27804,Suburban,Married
113,KN20603,M,45506,Suburban,Single
114,CR48975,M,65196,Suburban,Married
116,VF72557,M,20993,Suburban,Divorced
117,OX28638,M,37839,Suburban,Married
118,SK55033,F,92711,Suburban,Single
119,OO88645,F,74665,Urban,Married
121,CW82151,M,46833,Rural,Married
122,DY22043,F,88768,Suburban,Married
123,SH36774,M,28262,Suburban,Single
124,EM43724,F,33555,Rural,Married
125,FH85960,M,42780,Suburban,Divorced
126,XA55993,F,58850,Rural,Single
127,GO36627,M,21880,Urban,Married
128,QH48047,M,25251,Suburban,Divorced
130,UH65059,M,24188,Suburban,Married
